,program,.,var,;,:,identifier,integer_type,boolean_type,begin,end,:=,read,write,if,then,else,while,do,+,-,*,integer,TRUE,FALSE,>,>=,=,<=,<,$,PROGRAM,BLOCK,VAR_DECLARATION_SECTION,VAR_DECLARATION',VAR_DECLARATION,IDENTIFIER',IDENTIFIER,TYPE,COMPOUND_STATEMENT,STATEMENT',STATEMENT,SIMPLE_STATEMENT,ASSIGNMENT_STATEMENT,READ_STATEMENT,WRITE_STATEMENT,STRUCTURED_STATEMENT,IF_STATEMENT,IF,THEN,ELSE,WHILE_STATEMENT,DO,EXPRESSION,ARITHMETIC_EXPRESSION,TERM,FACTOR,LITERAL,INTEGER_LITERAL,BOOLEAN_LITERAL,BOOLEAN_EXPRESSION
0,s1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, , , , , ,s3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , 
2, , ,s8, , , , , ,s7, , , , , , , , , , , , , , , , , , , , , , ,4,6, , , , , ,5, , , , , , , , , , , , , , , , , , , , , 
3, , ,r9,r9, ,r9, , ,r9,r9,r9, , , ,r9,r9, ,r9,r9,r9,r9, , , ,r9,r9,r9,r9,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , ,s7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , 
7, , , , , ,s3, , ,s7, , ,s22,s23,s26, , ,s25, , , , , , , , , , , , , , , , , , , ,21, ,20,11,12,13,15,16,17,14,18,24, , ,19, , , , , , , , , 
8, , , , , ,s30, , , , , , , , , , , , , , , , , , , , , , , , , , , ,27,28,29,31, , , , , , , , , , , , , , , , , , , , , , , 
9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10, ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , ,s32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12, , , ,s33, , , , , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13, , , ,r15, , , , , ,r15, , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , , ,r16, , , , , ,r16, , , , , ,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , , ,r17, , , , , ,r17, , , , , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , , ,r18, , , , , ,r18, , , , , ,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17, , , ,r19, , , , , ,r19, , , , , ,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, , , ,r24, , , , , ,r24, , , , , ,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , , ,r25, , , , , ,r25, , , , , ,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20, , , ,r26, , , , , ,r26, , , , , ,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21, , , , , , , , , , ,s34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22, , , , , ,s3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , ,s3, , , , , , , , , , , , , , , ,s40,s41,s42, , , , , , , , , , , , ,36, , , , , , , , , , , , , , , , , , , ,37,38,39, 
24, , , , , , , , , , , , , , ,s44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43, , , , , , , , , , , 
25, , , , , ,s3, , , , , , , , , , , , , , , ,s40,s41,s42, , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,47,48,49, ,51,46,45
26, , , , , ,s3, , , , , , , , , , , , , , , ,s40,s41,s42, , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,47,48,49, ,51,46,52
27, , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28, , , ,s53, , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29, , , , ,s54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30, , ,r9,r9,r7,r9, , ,r9,r9,r9, , , ,r9,r9, ,r9,r9,r9,r9, , , ,r9,r9,r9,r9,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31, , , , , ,s55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32, ,r12, ,r12, , , , , ,r12, , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33, , , , , ,s3, , ,s7, , ,s22,s23,s26, , ,s25, , , , , , , , , , , , , , , , , , , ,21, ,20,56,12,13,15,16,17,14,18,24, , ,19, , , , , , , , , 
34, , , , , ,s3, , , , , , , , , , , , , , , ,s40,s41,s42, , , , , , , , , , , , ,50, , , , , , , , , , , , , , , ,57,58,48,49, ,51,46,59
35, , , ,r21, , , , , ,r21, , , , , ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36, , , ,r22, , , , , ,r22, , , , , ,r22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37, , , ,r23, , , , , ,r23, , , , , ,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38, , , ,r42, , , , , ,r42, , , , , ,r42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39, , , ,r43, , , , , ,r43, , , , , ,r43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40, , , ,r44, , , , , ,r44, , , , ,r44,r44, ,r44,r44,r44,r44, , , ,r44,r44,r44,r44,r44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41, , , ,r45, , , , , ,r45, , , , ,r45,r45, ,r45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42, , , ,r46, , , , , ,r46, , , , ,r46,r46, ,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43, , , , , , , , , , , , , , , ,s61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60, , , , , , , , , , 
44, , , , , ,s3, , ,s7, , ,s22,s23,s26, , ,s25, , , , , , , , , , , , , , , , , , , ,21, ,20, ,62,13,15,16,17,14,18,24, , ,19, , , , , , , , , 
45, , , , , , , , , , , , , , , , , ,s64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,63, , , , , , , , 
46, , , ,r47, , , , , ,r47, , , , ,r47,r47, ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47, , , , , , , , , , , , , , , , , , ,s70,s71, , , , ,s65,s66,s67,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48, , , ,r37, , , , , ,r37, , , , ,r37,r37, ,r37,r37,r37,s72, , , ,r37,r37,r37,r37,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49, , , ,r39, , , , , ,r39, , , , ,r39,r39, ,r39,r39,r39,r39, , , ,r39,r39,r39,r39,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50, , , ,r40, , , , , ,r40, , , , ,r40,r40, ,r40,r40,r40,r40, , , ,r40,r40,r40,r40,r40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51, , , ,r41, , , , , ,r41, , , , ,r41,r41, ,r41,r41,r41,r41, , , ,r41,r41,r41,r41,r41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52, , , , , , , , , , , , , , ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53, , , , , ,s30, , , , , , , , , , , , , , , , , , , , , , , , , , , ,73,28,29,31, , , , , , , , , , , , , , , , , , , , , , , 
54, , , , , , ,s75,s76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74, , , , , , , , , , , , , , , , , , , , , , 
55, , , , ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56, , , , , , , , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57, , , ,r20, , , , , ,r20, , , , , ,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58, , , ,r33, , , , , ,r33, , , , , ,r33, , ,s70,s71, , , , ,s65,s66,s67,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
59, , , ,r34, , , , , ,r34, , , , , ,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, , , ,r27, , , , , ,r27, , , , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61, , , , , ,s3, , ,s7, , ,s22,s23,s26, , ,s25, , , , , , , , , , , , , , , , , , , ,21, ,20, ,77,13,15,16,17,14,18,24, , ,19, , , , , , , , , 
62, , , , , , , , , , , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
63, , , ,r31, , , , , ,r31, , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64, , , , , ,s3, , ,s7, , ,s22,s23,s26, , ,s25, , , , , , , , , , , , , , , , , , , ,21, ,20, ,78,13,15,16,17,14,18,24, , ,19, , , , , , , , , 
65, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,79,48,49, ,51, , 
66, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,80,48,49, ,51, , 
67, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,81,48,49, ,51, , 
68, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,82,48,49, ,51, , 
69, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,83,48,49, ,51, , 
70, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , ,84,49, ,51, , 
71, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , ,85,49, ,51, , 
72, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , , ,86, ,51, , 
73, , , , , , , , ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, , , ,r6, , , , ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, , , ,r10, , , , ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
76, , , ,r11, , , , ,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77, , , ,r30, , , , , ,r30, , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, , , ,r32, , , , , ,r32, , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
79, , , ,r48, , , , , ,r48, , , , ,r48,r48, ,r48,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80, , , ,r49, , , , , ,r49, , , , ,r49,r49, ,r49,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81, , , ,r50, , , , , ,r50, , , , ,r50,r50, ,r50,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
82, , , ,r51, , , , , ,r51, , , , ,r51,r51, ,r51,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83, , , ,r52, , , , , ,r52, , , , ,r52,r52, ,r52,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84, , , ,r35, , , , , ,r35, , , , ,r35,r35, ,r35,r35,r35,s72, , , ,r35,r35,r35,r35,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85, , , ,r36, , , , , ,r36, , , , ,r36,r36, ,r36,r36,r36,s72, , , ,r36,r36,r36,r36,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86, , , ,r38, , , , , ,r38, , , , ,r38,r38, ,r38,r38,r38,r38, , , ,r38,r38,r38,r38,r38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
